repeat,sample,opt_obj,upper_bound,lower_bound,total_iterations,exact_iterations,inexact_iterations,total_time,total_time_master,total_time_subproblem_exact,total_time_subproblem_pdl,investments
0,0,26047087.832061738,399665244.8659435,5025466.666666666,17,0,17,0.054457902908325195,0.034319162368774414,0,0.02013874053955078,"[86.0, 1.0, 254.0, -0.0, 62.0, -0.0]"
0,1,31283421.92228425,668376510.6214556,5137166.666666666,10,0,10,0.030350208282470703,0.02127385139465332,0,0.009076356887817383,"[100.0, -0.0, 234.0, -0.0, 68.0, -0.0]"
0,2,30854735.95156652,866924722.892024,4818499.999999999,8,0,8,0.023296356201171875,0.01622629165649414,0,0.007070064544677734,"[102.0, -0.0, 247.0, -0.0, 61.0, -0.0]"
0,3,31778768.829191282,561966626.1642833,5292000.0,10,0,10,0.030186891555786133,0.02124929428100586,0,0.008937597274780273,"[83.0, 12.0, 256.0, -0.0, 70.0, -0.0]"
0,4,33006522.664473403,796466395.1768328,5439566.666666666,9,0,9,0.023213863372802734,0.015615701675415039,0,0.007598161697387695,"[90.0, 14.0, 251.0, -0.0, 73.0, 1.0]"
0,5,34156576.33073264,1067839354.3769487,5121000.0,6,0,6,0.016902923583984375,0.011979818344116211,0,0.004923105239868164,"[95.0, -0.0, 252.0, -0.0, 69.0, -0.0]"
0,6,32683277.264786474,673497702.4010063,5503833.333333333,8,0,8,0.02133631706237793,0.014687061309814453,0,0.0066492557525634766,"[115.0, -0.0, 260.0, -0.0, 74.0, -0.0]"
0,7,33045526.57953956,563871258.5986657,5812166.666666667,10,0,10,0.03854632377624512,0.02800154685974121,0,0.010544776916503906,"[149.0, 1.0, 249.0, -0.0, 73.0, -0.0]"
0,8,33251283.422663897,800254738.7661867,5207500.0,9,0,9,0.03046107292175293,0.021015644073486328,0,0.009445428848266602,"[76.0, 24.0, 238.0, 2073.0, 70.0, -0.0]"
0,9,29969433.549330022,848208771.0311661,5018666.666666666,9,0,9,0.028870344161987305,0.019372940063476562,0,0.009497404098510742,"[107.0, -0.0, 249.0, 3461.0, 66.0, -0.0]"
0,10,29335473.39452561,797085165.9934837,4874166.666666666,10,0,10,0.037276506423950195,0.024057626724243164,0,0.013218879699707031,"[88.0, 4.0, 243.0, 3302.0, 64.0, -0.0]"
0,11,27080523.14145828,753673161.3559402,4783500.0,12,0,12,0.03520059585571289,0.02446770668029785,0,0.010732889175415039,"[70.0, 9.0, 251.0, 3260.0, 62.0, -0.0]"
0,12,28335724.44464225,1012126835.6211773,4460266.666666666,10,0,10,0.025540590286254883,0.01703023910522461,0,0.008510351181030273,"[97.0, -0.0, 223.0, 3975.0, 60.0, -0.0]"
0,13,23489222.542684548,860321557.4297686,4062766.666666666,11,0,11,0.032350778579711914,0.0226898193359375,0,0.009660959243774414,"[65.0, 2.0, 226.0, 2659.0, 55.0, 18.0]"
0,14,24537275.69054854,873825266.6564356,4094166.666666666,10,0,10,0.0240020751953125,0.015309810638427734,0,0.008692264556884766,"[72.0, 1.0, 238.0, 3265.0, 55.0, -0.0]"
0,15,23208052.78681407,965218513.0389787,4045366.666666666,10,0,10,0.032778263092041016,0.024623394012451172,0,0.008154869079589844,"[75.0, 1.0, 229.0, 2579.0, 53.0, -0.0]"
0,16,24662755.564500965,855178643.6381389,4315533.333333333,10,0,10,0.028264284133911133,0.01920342445373535,0,0.009060859680175781,"[98.0, -0.0, 223.0, 2531.0, 58.0, -0.0]"
0,17,23558447.156528227,751884711.9738015,4009199.9999999995,12,0,12,0.038483381271362305,0.027506351470947266,0,0.010977029800415039,"[67.0, -0.0, 215.0, 3621.0, 53.0, -0.0]"
0,18,21189248.60992637,639165031.8943303,4182733.3333333326,15,0,15,0.05081033706665039,0.034935712814331055,0,0.015874624252319336,"[65.0, -0.0, 191.0, 2698.0, 52.0, 104.0]"
0,19,20324565.100870986,832216473.4239067,3496933.3333333326,11,0,11,0.04284095764160156,0.031992197036743164,0,0.010848760604858398,"[-0.0, 17.0, 184.0, 2497.0, 46.0, 439.0]"
0,20,18126230.692286234,852003919.2302092,2991299.9999999986,10,0,10,0.0355534553527832,0.02708268165588379,0,0.008470773696899414,"[46.0, 14.0, 171.0, 2306.0, 39.0, 217.0]"
0,21,17353277.912773166,942625118.6660789,3168133.333333332,8,0,8,0.024174213409423828,0.017355918884277344,0,0.006818294525146484,"[62.0, -0.0, 170.0, 2233.0, 40.0, -0.0]"
0,22,17844324.545853395,910591430.8917271,2931333.333333332,6,0,6,0.02038097381591797,0.014925956726074219,0,0.00545501708984375,"[52.0, 3.0, 169.0, 2297.0, 39.0, 35.0]"
0,23,19210399.622772664,877758442.7124254,3364699.9999999986,7,0,7,0.024102449417114258,0.018274545669555664,0,0.005827903747558594,"[58.0, -0.0, 185.0, 2938.0, 42.0, 101.0]"
0,24,16549886.033973323,1104830317.2229347,8111400.0,19,0,19,0.05908918380737305,0.04133272171020508,0,0.01775646209716797,"[56.0, -0.0, 170.0, 2432.0, 39.0, -0.0]"
0,25,16408315.113327542,774850350.4266696,3012466.666666665,8,0,8,0.027547597885131836,0.01880955696105957,0,0.008738040924072266,"[52.0, 10.0, 162.0, 2391.0, 37.0, 147.0]"
0,26,16210636.112717444,876756078.3201858,2821199.9999999986,6,0,6,0.020510196685791016,0.013332843780517578,0,0.0071773529052734375,"[60.0, -0.0, 170.0, 2128.0, 37.0, 129.0]"
0,27,16985094.081602007,784694546.6125158,3111399.999999999,8,0,8,0.02818608283996582,0.01964116096496582,0,0.008544921875,"[46.0, 20.0, 165.0, 2637.0, 38.0, 295.0]"
0,28,15428866.189266153,722238835.853278,2963433.333333332,8,0,8,0.02843332290649414,0.01940631866455078,0,0.00902700424194336,"[57.0, -0.0, 176.0, 2300.0, 37.0, 274.0]"
0,29,17804265.43480101,898618132.8736099,2895633.333333332,6,0,6,0.016431331634521484,0.010822057723999023,0,0.005609273910522461,"[45.0, -0.0, 176.0, 3181.0, 38.0, 222.0]"
0,30,16440999.330924276,945449255.938598,2959666.666666665,7,0,7,0.026120901107788086,0.01984381675720215,0,0.0062770843505859375,"[46.0, 4.0, 166.0, 2592.0, 39.0, 119.0]"
0,31,15949531.010276351,1030382640.4200548,2776366.666666665,7,0,7,0.024461984634399414,0.01841139793395996,0,0.006050586700439453,"[62.0, -0.0, 174.0, 2514.0, 35.0, 385.0]"
0,32,15833845.116530396,815649596.4602407,3111133.333333332,8,0,8,0.0237119197845459,0.016742706298828125,0,0.0069692134857177734,"[60.0, 1.0, 162.0, 2314.0, 38.0, 122.0]"
0,33,18452589.33319558,1060362752.082897,2938366.6666666656,6,0,6,0.017443180084228516,0.012315750122070312,0,0.005127429962158203,"[45.0, 1.0, 177.0, 3290.0, 38.0, 245.0]"
0,34,17520820.193474054,987209691.493679,2926633.333333332,6,0,6,0.015848636627197266,0.010331153869628906,0,0.005517482757568359,"[60.0, 18.0, 163.0, 3120.0, 36.0, 301.0]"
0,35,16250464.717147708,941195635.3828335,2832933.333333332,9,0,9,0.03361105918884277,0.025204181671142578,0,0.008406877517700195,"[24.0, 2.0, 185.0, 2414.0, 37.0, 481.0]"
0,36,16991187.066727255,998263017.1713725,3080699.9999999986,5,0,5,0.020546913146972656,0.014225482940673828,0,0.006321430206298828,"[52.0, -0.0, 182.0, 2130.0, 40.0, 402.0]"
0,37,17425794.496298473,901802210.8372698,3089566.6666666656,6,0,6,0.02020263671875,0.013350486755371094,0,0.006852149963378906,"[40.0, 1.0, 180.0, 2609.0, 40.0, 274.0]"
0,38,16807415.41401359,969477362.8026733,2813066.666666665,9,0,9,0.036379337310791016,0.027410030364990234,0,0.008969306945800781,"[58.0, -0.0, 167.0, 2831.0, 34.0, 243.0]"
0,39,16443770.232125802,875608283.543918,3077533.333333332,8,0,8,0.026058673858642578,0.018147706985473633,0,0.007910966873168945,"[37.0, -0.0, 177.0, 2281.0, 40.0, 192.0]"
0,40,17520408.084075555,1060188665.9437014,3138633.333333332,6,0,6,0.02192974090576172,0.01484990119934082,0,0.0070798397064208984,"[44.0, 3.0, 161.0, 2543.0, 40.0, 176.0]"
0,41,16038164.235844241,874473658.6595043,2943466.666666665,7,0,7,0.02559661865234375,0.019321680068969727,0,0.0062749385833740234,"[43.0, -0.0, 158.0, 2780.0, 36.0, 191.0]"
0,42,14657922.124324346,836168390.1170737,2699499.999999999,7,0,7,0.024572372436523438,0.018798112869262695,0,0.005774259567260742,"[-0.0, -0.0, 169.0, 2192.0, 34.0, 267.0]"
0,43,16028475.667349039,993880269.3620039,2669699.9999999986,6,0,6,0.017710208892822266,0.01223897933959961,0,0.005471229553222656,"[46.0, -0.0, 158.0, 2218.0, 36.0, 80.0]"
0,44,15802623.180114852,1030363835.4207995,2627299.999999999,10,0,10,0.031882524490356445,0.02351999282836914,0,0.008362531661987305,"[57.0, -0.0, 163.0, 2181.0, 34.0, 75.0]"
0,45,17310338.56754962,716341741.3453087,2661899.999999999,12,0,12,0.038327693939208984,0.028310775756835938,0,0.010016918182373047,"[69.0, -0.0, 159.0, 2481.0, 33.0, 126.0]"
0,46,15817802.19130886,887730327.9829403,2562766.6666666656,8,0,8,0.0366058349609375,0.027076244354248047,0,0.009529590606689453,"[46.0, -0.0, 168.0, 2342.0, 34.0, 129.0]"
0,47,20052211.00257899,1023280679.4072015,2987699.9999999986,6,0,6,0.018566608428955078,0.012658119201660156,0,0.005908489227294922,"[69.0, -0.0, 190.0, 3023.0, 39.0, 16.0]"
0,48,17677233.065249786,786527118.7790453,3101766.6666666656,8,0,8,0.026175498962402344,0.018072128295898438,0,0.008103370666503906,"[49.0, 2.0, 188.0, 2502.0, 38.0, 199.0]"
0,49,17709224.99598109,860845926.8013932,2963818.025453305,8,0,8,0.02464914321899414,0.016476869583129883,0,0.008172273635864258,"[60.0, -0.0, 181.0, 2806.0, 38.0, 110.0]"
0,50,18443384.380119644,955456119.3003442,2921466.6666666656,6,0,6,0.019728660583496094,0.014053821563720703,0,0.005674839019775391,"[61.0, -0.0, 177.0, 2514.0, 39.0, 78.0]"
0,51,21217155.030631553,1144539060.8426173,13228996.42145014,17,0,17,0.04924440383911133,0.0338137149810791,0,0.015430688858032227,"[60.0, -0.0, 179.0, 3693.0, 41.0, 61.0]"
0,52,19283761.242272943,1242468460.550774,10560400.0,20,0,20,0.05995750427246094,0.042662858963012695,0,0.017294645309448242,"[68.0, -0.0, 192.0, 2606.0, 40.0, 3.0]"
0,53,20061173.857876804,802026582.8673413,3219166.6666666656,8,0,8,0.025480270385742188,0.018670082092285156,0,0.006810188293457031,"[75.0, 1.0, 193.0, 2747.0, 40.0, 157.0]"
0,54,20557555.07703166,1034140446.7412885,3182266.6666666656,7,0,7,0.02075958251953125,0.014683246612548828,0,0.006076335906982422,"[75.0, 1.0, 207.0, 2402.0, 42.0, -0.0]"
0,55,22223956.22668862,1103412205.4415588,12350966.666666668,15,0,15,0.04854846000671387,0.03484702110290527,0,0.013701438903808594,"[84.0, 10.0, 205.0, 2091.0, 44.0, -0.0]"
