repeat,sample,opt_obj,upper_bound,lower_bound,total_iterations,exact_iterations,inexact_iterations,total_time,total_time_master,total_time_subproblem_exact,total_time_subproblem_pdl,investments
0,0,26047087.832061738,26047087.832061715,26047087.832061715,41,41,0,0.5552849769592285,0.21483969688415527,0.34044528007507324,0,"[86.0, 1.0, 254.0, -0.0, 62.0, -0.0]"
0,1,31283421.92228425,31283421.92228425,31283421.92228425,40,40,0,0.47618722915649414,0.16215300559997559,0.31403422355651855,0,"[100.0, -0.0, 234.0, -0.0, 68.0, -0.0]"
0,2,30854735.95156652,30854735.951566502,30854735.9515665,47,47,0,0.7100450992584229,0.3318178653717041,0.37822723388671875,0,"[102.0, -0.0, 247.0, -0.0, 61.0, -0.0]"
0,3,31778768.829191282,31778768.829191267,31778768.829191275,49,49,0,0.7311146259307861,0.3144693374633789,0.4166452884674072,0,"[83.0, 12.0, 256.0, -0.0, 70.0, -0.0]"
0,4,33006522.664473403,33006522.66447337,33006522.664473366,56,56,0,0.8027997016906738,0.337479829788208,0.4653198719024658,0,"[90.0, 14.0, 251.0, -0.0, 73.0, 1.0]"
0,5,34156576.33073264,34156576.33073263,34156576.330732636,49,49,0,0.6907343864440918,0.28299522399902344,0.40773916244506836,0,"[95.0, -0.0, 252.0, -0.0, 69.0, -0.0]"
0,6,32683277.264786474,32683277.26478646,32683277.26478641,50,50,0,0.7254161834716797,0.3142421245574951,0.41117405891418457,0,"[115.0, -0.0, 260.0, -0.0, 74.0, -0.0]"
0,7,33045526.57953956,33045526.579539575,33045526.579539567,44,44,0,0.5607516765594482,0.2100834846496582,0.35066819190979004,0,"[149.0, 1.0, 249.0, -0.0, 73.0, -0.0]"
0,8,33251283.422663897,33251283.422663935,33251283.422663935,60,60,0,0.9846127033233643,0.5058293342590332,0.47878336906433105,0,"[76.0, 24.0, 238.0, 2073.0, 70.0, -0.0]"
0,9,29969433.549330022,29969433.549329996,29969433.549329996,63,63,0,1.022451400756836,0.4976677894592285,0.5247836112976074,0,"[107.0, -0.0, 249.0, 3461.0, 66.0, -0.0]"
0,10,29335473.39452561,29335473.394525606,29335473.394525606,72,72,0,1.3221538066864014,0.7213602066040039,0.6007936000823975,0,"[88.0, 4.0, 243.0, 3302.0, 64.0, -0.0]"
0,11,27080523.14145828,27080523.141458306,27080523.141458303,66,66,0,1.1096456050872803,0.5683820247650146,0.5412635803222656,0,"[70.0, 9.0, 251.0, 3260.0, 62.0, -0.0]"
0,12,28335724.44464225,28335724.44464224,28335724.44464224,68,68,0,1.0540533065795898,0.5012445449829102,0.5528087615966797,0,"[97.0, -0.0, 223.0, 3975.0, 60.0, -0.0]"
0,13,23489222.542684548,23489222.54268455,23489222.54268455,69,69,0,1.2541899681091309,0.6745846271514893,0.5796053409576416,0,"[65.0, 2.0, 226.0, 2659.0, 55.0, 18.0]"
0,14,24537275.69054854,24537275.69054851,24537275.690548506,62,62,0,1.228865623474121,0.7163138389587402,0.5125517845153809,0,"[72.0, 1.0, 238.0, 3265.0, 55.0, -0.0]"
0,15,23208052.78681407,23208052.786814056,23208052.78681405,78,78,0,1.3753876686096191,0.7273705005645752,0.648017168045044,0,"[75.0, 1.0, 229.0, 2579.0, 53.0, -0.0]"
0,16,24662755.564500965,24662755.564500954,24662755.56450095,73,73,0,1.189673662185669,0.5859630107879639,0.6037106513977051,0,"[98.0, -0.0, 223.0, 2531.0, 58.0, -0.0]"
0,17,23558447.156528227,23558447.156528234,23558447.156528234,68,68,0,1.2014198303222656,0.6409306526184082,0.5604891777038574,0,"[67.0, -0.0, 215.0, 3621.0, 53.0, -0.0]"
0,18,21189248.60992637,21189248.609926373,21189248.60992637,69,69,0,1.0652203559875488,0.4916038513183594,0.5736165046691895,0,"[65.0, -0.0, 191.0, 2698.0, 52.0, 104.0]"
0,19,20324565.100870986,20324565.100870997,20324565.100870967,85,85,0,1.546257734298706,0.8426520824432373,0.7036056518554688,0,"[-0.0, 17.0, 184.0, 2497.0, 46.0, 439.0]"
0,20,18126230.692286234,18126230.692286268,18126230.69228627,102,102,0,1.9928178787231445,1.1278395652770996,0.8649783134460449,0,"[46.0, 14.0, 171.0, 2306.0, 39.0, 217.0]"
0,21,17353277.912773166,17353277.91277317,17353277.91277317,81,81,0,1.221405029296875,0.5522205829620361,0.6691844463348389,0,"[62.0, -0.0, 170.0, 2233.0, 40.0, -0.0]"
0,22,17844324.545853395,17844324.545853414,17844324.545853414,92,92,0,1.7394793033599854,0.9599509239196777,0.7795283794403076,0,"[52.0, 3.0, 169.0, 2297.0, 39.0, 35.0]"
0,23,19210399.622772664,19210399.622772686,19210399.62277269,83,83,0,1.4089915752410889,0.7144150733947754,0.6945765018463135,0,"[58.0, -0.0, 185.0, 2938.0, 42.0, 101.0]"
0,24,16549886.033973323,16549886.03397333,16549886.033973329,78,78,0,1.215017318725586,0.5603499412536621,0.6546673774719238,0,"[56.0, -0.0, 170.0, 2432.0, 39.0, -0.0]"
0,25,16408315.113327542,16408315.113327544,16408315.113327544,98,98,0,2.0040173530578613,1.1872694492340088,0.8167479038238525,0,"[52.0, 10.0, 162.0, 2391.0, 37.0, 147.0]"
0,26,16210636.112717444,16210636.112717435,16210636.112717435,93,93,0,1.4899499416351318,0.6988890171051025,0.7910609245300293,0,"[60.0, -0.0, 170.0, 2128.0, 37.0, 129.0]"
0,27,16985094.081602007,16985094.081602015,16985094.081602015,105,105,0,2.3523659706115723,1.4731571674346924,0.8792088031768799,0,"[46.0, 20.0, 165.0, 2637.0, 38.0, 295.0]"
0,28,15428866.189266153,15428866.189266158,15428866.189266156,90,90,0,1.6883916854858398,0.9368927478790283,0.7514989376068115,0,"[57.0, -0.0, 176.0, 2300.0, 37.0, 274.0]"
0,29,17804265.43480101,17804265.434800975,17804265.434800975,95,95,0,1.9108564853668213,1.113896131515503,0.7969603538513184,0,"[45.0, -0.0, 176.0, 3181.0, 38.0, 222.0]"
0,30,16440999.330924276,16440999.330924274,16440999.330924276,95,95,0,2.0571980476379395,1.260612964630127,0.7965850830078125,0,"[46.0, 4.0, 166.0, 2592.0, 39.0, 119.0]"
0,31,15949531.010276351,15949531.010276342,15949531.01027634,88,88,0,1.4508111476898193,0.7221417427062988,0.7286694049835205,0,"[62.0, -0.0, 174.0, 2514.0, 35.0, 385.0]"
