number,value,datetime_start,datetime_complete,duration,params_batch_size,params_decay,params_dual_lr,params_hidden_size_factor,params_n_layers,state
0,-34477.520150411394,2025-05-12 09:16:38.235002,2025-05-12 09:24:04.899679,0 days 00:07:26.664677,4096,0.9927600617460056,0.0006987712181270653,44,8,COMPLETE
1,-29374.41186215111,2025-05-12 09:24:04.901693,2025-05-12 09:38:01.202034,0 days 00:13:56.300341,4096,0.9822233961686313,0.00013209740288485825,15,3,COMPLETE
2,-34513.264831518936,2025-05-12 09:38:01.204509,2025-05-12 09:42:00.926092,0 days 00:03:59.721583,2048,0.9904182644360834,0.0008818961463612101,50,5,COMPLETE
3,-2250.6724945591573,2025-05-12 09:42:00.927484,2025-05-12 09:44:34.607196,0 days 00:02:33.679712,4096,0.9804902607746036,0.0005479831017875946,30,7,COMPLETE
4,-34516.4731282391,2025-05-12 09:44:34.608150,2025-05-12 09:48:31.318137,0 days 00:03:56.709987,4096,0.9958672877652589,0.0004898863183044935,13,5,COMPLETE
5,-34306.37546772936,2025-05-12 09:48:31.319322,2025-05-12 09:54:53.634396,0 days 00:06:22.315074,2048,0.9811961131797677,0.00024204830970230053,32,3,COMPLETE
6,-34507.030783228816,2025-05-12 09:54:53.635843,2025-05-12 10:01:07.790286,0 days 00:06:14.154443,4096,0.9913636792191878,0.0008241850908125769,20,2,COMPLETE
7,-29380.923581795974,2025-05-12 10:01:07.791756,2025-05-12 10:06:20.186825,0 days 00:05:12.395069,4096,0.9916951156079695,0.0006475819422926043,38,8,COMPLETE
8,-34506.93194908407,2025-05-12 10:06:20.188137,2025-05-12 10:09:43.072762,0 days 00:03:22.884625,2048,0.9932836598422753,0.0008404998806741646,38,8,COMPLETE
9,-34504.93687331799,2025-05-12 10:09:43.073912,2025-05-12 10:13:54.402156,0 days 00:04:11.328244,2048,0.9813761206302402,0.0005611781578590434,31,2,COMPLETE
10,-34460.94361591363,2025-05-12 10:13:54.403358,2025-05-12 10:18:36.715794,0 days 00:04:42.312436,4096,0.9986677083262118,0.0003829585625645581,2,5,COMPLETE
11,-29368.54225336477,2025-05-12 10:18:36.717164,2025-05-12 10:21:32.390179,0 days 00:02:55.673015,2048,0.9872141928620768,0.0009418279862402077,9,5,COMPLETE
