number,value,datetime_start,datetime_complete,duration,params_batch_size,params_decay,params_hidden_size_factor,params_n_layers,params_primal_lr,state
0,34647.32232925827,2025-05-11 15:52:44.520340,2025-05-11 16:08:50.772822,0 days 00:16:06.252482,2048,0.9984316578153121,8,8,0.00023612232771626093,COMPLETE
1,34652.241118501595,2025-05-11 16:08:50.775718,2025-05-11 17:12:42.546846,0 days 01:03:51.771128,2048,0.9864500522786562,31,2,3.563585590326415e-05,COMPLETE
2,34646.34063691292,2025-05-11 17:12:42.553713,2025-05-11 17:30:12.934193,0 days 00:17:30.380480,2048,0.9829891880719672,37,4,0.0009344911286069666,COMPLETE
3,34924.77558028548,2025-05-11 17:30:12.936477,2025-05-11 18:10:53.631335,0 days 00:40:40.694858,4096,0.9810849321872251,4,4,0.00010534896132391467,COMPLETE
4,34650.030218913496,2025-05-11 18:10:53.637454,2025-05-11 18:18:46.337531,0 days 00:07:52.700077,4096,0.9847510494135296,24,5,0.00015281533188144859,COMPLETE
5,34656.13314314404,2025-05-11 18:18:46.339453,2025-05-11 18:26:24.627108,0 days 00:07:38.287655,2048,0.9966478529132659,33,7,0.0005784291891167167,COMPLETE
6,34645.866880457215,2025-05-11 18:26:24.628763,2025-05-11 18:55:05.558838,0 days 00:28:40.930075,2048,0.9940454236859189,47,4,0.0005889852114165356,COMPLETE
7,34646.63394483638,2025-05-11 18:55:05.561333,2025-05-11 19:10:50.684655,0 days 00:15:45.123322,4096,0.9887781802170852,16,4,0.000754468438165312,COMPLETE
8,34633.82628310999,2025-05-11 19:10:50.688214,2025-05-11 19:16:31.902863,0 days 00:05:41.214649,4096,0.9879431587966327,17,2,0.0006280196753606244,COMPLETE
9,34634.61451649689,2025-05-11 19:16:31.904516,2025-05-11 19:41:36.506451,0 days 00:25:04.601935,4096,0.9938455458364457,45,6,7.089336670115596e-05,COMPLETE
10,34635.622975492326,2025-05-11 19:41:36.508380,2025-05-11 19:56:55.536817,0 days 00:15:19.028437,4096,0.9903951770435148,16,2,0.0003348415170927726,COMPLETE
11,34649.28341756097,2025-05-11 19:56:55.539922,2025-05-11 20:33:45.443251,0 days 00:36:49.903329,4096,0.9922248323694439,50,6,0.0003999718843068692,COMPLETE
12,34651.090694521896,2025-05-11 20:33:45.445553,2025-05-11 20:47:57.339564,0 days 00:14:11.894011,4096,0.9939159972822712,21,7,0.0007166254692991652,COMPLETE
13,34902.80082393126,2025-05-11 20:47:57.341389,2025-05-11 21:03:05.351247,0 days 00:15:08.009858,4096,0.9879563168417699,39,6,0.0004318334506908996,COMPLETE
14,34646.854108043415,2025-05-11 21:03:05.353543,2025-05-11 21:36:17.197610,0 days 00:33:11.844067,4096,0.9913277007024152,12,3,0.0007818386189600193,COMPLETE
15,34670.244963945544,2025-05-11 21:36:17.201908,2025-05-11 21:43:19.725235,0 days 00:07:02.523327,4096,0.9951539487106382,41,6,0.0009501277343442925,COMPLETE
16,34647.28283673721,2025-05-11 21:43:19.726593,2025-05-11 22:00:14.945577,0 days 00:16:55.218984,4096,0.9860789131245606,29,5,0.00027897829362150876,COMPLETE
17,34634.059089364026,2025-05-11 22:00:14.947716,2025-05-11 22:14:19.555768,0 days 00:14:04.608052,4096,0.9925734720438167,18,3,0.0005698353837442129,COMPLETE
